Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
query current activities,Minor,ahmad.hajdawood,	2025-11-18 13:58:50,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-18 13:53:25,OSSFaceService,192.168.27.20,query current activities,Successful,query current activities
query current activities,Minor,najeh.ghawanmeh,	2025-11-18 13:46:27,OSSFaceService,192.168.27.29,query current activities,Successful,query current activities
query current activities,Minor,abdallah.younes,	2025-11-18 13:33:53,OSSFaceService,192.168.19.13,query current activities,Successful,query current activities
Export Object Tree,Warning,najeh.ghawanmeh,	2025-11-18 13:29:31,Performance Report Service,192.168.27.29,Performance Report System,Successful,"Object type: GCell, Exported objects: 8056"
query current activities,Minor,najeh.ghawanmeh,	2025-11-18 13:25:24,OSSFaceService,192.168.27.29,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-18 13:09:34,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,yousef.abu-sheikha,	2025-11-18 12:58:48,OSSFaceService,192.168.27.133,query current activities,Successful,query current activities
query current activities,Minor,baher.obaidat,	2025-11-18 12:27:16,OSSFaceService,192.168.19.218,query current activities,Successful,query current activities
query current activities,Minor,Abdelrahman.abu-alasal,	2025-11-18 12:18:46,OSSFaceService,192.168.19.186,query current activities,Successful,query current activities
query current activities,Minor,najeh.ghawanmeh,	2025-11-18 12:05:54,OSSFaceService,192.168.27.29,query current activities,Successful,query current activities
query current activities,Minor,yazan.osrof,	2025-11-18 11:59:10,OSSFaceService,192.168.19.98,query current activities,Successful,query current activities
query current activities,Minor,abdallah.younes,	2025-11-18 11:53:33,OSSFaceService,192.168.19.13,query current activities,Successful,query current activities
query current activities,Minor,abdallah.younes,	2025-11-18 11:53:26,OSSFaceService,192.168.19.13,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-18 11:36:09,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,Qais.AlMalkawi,	2025-11-18 11:28:42,OSSFaceService,192.168.19.116,query current activities,Successful,query current activities
query current activities,Minor,Ahmad.Alsubani,	2025-11-18 11:15:26,OSSFaceService,192.168.27.22,query current activities,Successful,query current activities
query current activities,Minor,Ahmad.Alsubani,	2025-11-18 10:59:11,OSSFaceService,192.168.27.22,query current activities,Successful,query current activities
query current activities,Minor,baker.asad,	2025-11-18 10:56:41,OSSFaceService,192.168.19.230,query current activities,Successful,query current activities
query current activities,Minor,mohammad.abujrai,	2025-11-18 10:39:13,OSSFaceService,192.168.27.66,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-18 09:12:44,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-18 09:03:42,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-18 08:59:59,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,lana.mofde,	2025-11-18 08:37:14,OSSFaceService,172.23.13.197,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-18 08:36:37,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,Osaid.Bolbol,	2025-11-18 08:35:13,OSSFaceService,172.23.16.218,query current activities,Successful,query current activities
query current activities,Minor,Kareem.ElKhatib,	2025-11-18 08:28:35,OSSFaceService,192.168.27.148,query current activities,Successful,query current activities
query current activities,Minor,najeh.ghawanmeh,	2025-11-18 08:23:55,OSSFaceService,192.168.27.29,query current activities,Successful,query current activities
query current activities,Minor,yousef.abu-sheikha,	2025-11-18 08:19:48,OSSFaceService,192.168.27.133,query current activities,Successful,query current activities
query current activities,Minor,Ayham.Qarqash,	2025-11-18 08:15:22,OSSFaceService,192.168.27.138,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-18 08:15:14,OSSFaceService,192.168.27.20,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-18 08:12:36,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,admin,	2025-11-18 08:11:59,OSSFaceService,192.168.7.160,query current activities,Successful,query current activities
query current activities,Minor,ahmad.hajdawood,	2025-11-18 08:10:34,OSSFaceService,192.168.27.27,query current activities,Successful,query current activities
query current activities,Minor,mohammad.abujrai,	2025-11-18 08:04:33,OSSFaceService,192.168.27.66,query current activities,Successful,query current activities
query current activities,Minor,Emran.Zaarir,	2025-11-18 08:03:57,OSSFaceService,192.168.27.20,query current activities,Successful,query current activities
query current activities,Minor,Ayham.Qarqash,	2025-11-18 08:03:29,OSSFaceService,192.168.27.138,query current activities,Successful,query current activities
query current activities,Minor,thabet.jaradat,	2025-11-18 08:03:02,OSSFaceService,192.168.19.22,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-18 07:56:01,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,Hosni.Olayan,	2025-11-18 07:53:42,OSSFaceService,192.168.19.229,query current activities,Successful,query current activities
query current activities,Minor,hamza.alqadi,	2025-11-17 21:50:11,OSSFaceService,172.23.14.37,query current activities,Successful,query current activities
query current activities,Minor,mohammad.abujrai,	2025-11-17 17:17:11,OSSFaceService,172.23.18.85,query current activities,Successful,query current activities
query current activities,Minor,rawaa.alobaidat,	2025-11-17 15:45:40,OSSFaceService,192.168.19.221,query current activities,Successful,query current activities
query current activities,Minor,laith.al-habashneh,	2025-11-17 15:10:25,OSSFaceService,172.23.17.126,query current activities,Successful,query current activities
